"","Platform","Genre","Publisher","Global_Sales"
"1","Wii","Sports","Nintendo","[0.33,82.7]"
"2","NES","Platform","Nintendo","[0.33,82.7]"
"3","Wii","Racing","Nintendo","[0.33,82.7]"
"4","Wii","Sports","Nintendo","[0.33,82.7]"
"5","GB","Role-Playing","Nintendo","[0.33,82.7]"
"6","GB","Puzzle","Nintendo","[0.33,82.7]"
"7","DS","Platform","Nintendo","[0.33,82.7]"
"8","Wii","Misc","Nintendo","[0.33,82.7]"
"9","Wii","Platform","Nintendo","[0.33,82.7]"
"10","NES","Shooter","Nintendo","[0.33,82.7]"
"11","DS","Simulation","Nintendo","[0.33,82.7]"
"12","DS","Racing","Nintendo","[0.33,82.7]"
"13","GB","Role-Playing","Nintendo","[0.33,82.7]"
"14","Wii","Sports","Nintendo","[0.33,82.7]"
"15","Wii","Sports","Nintendo","[0.33,82.7]"
"16","X360","Misc","Microsoft Game Studios","[0.33,82.7]"
"17","PS3","Action","Take-Two Interactive","[0.33,82.7]"
"18","PS2","Action","Take-Two Interactive","[0.33,82.7]"
"19","SNES","Platform","Nintendo","[0.33,82.7]"
"20","DS","Misc","Nintendo","[0.33,82.7]"
"21","DS","Role-Playing","Nintendo","[0.33,82.7]"
"22","GB","Platform","Nintendo","[0.33,82.7]"
"23","NES","Platform","Nintendo","[0.33,82.7]"
"24","X360","Action","Take-Two Interactive","[0.33,82.7]"
"25","PS2","Action","Take-Two Interactive","[0.33,82.7]"
"26","GBA","Role-Playing","Nintendo","[0.33,82.7]"
"27","DS","Role-Playing","Nintendo","[0.33,82.7]"
"28","DS","Puzzle","Nintendo","[0.33,82.7]"
"29","PS2","Racing","Sony Computer Entertainment","[0.33,82.7]"
"30","X360","Shooter","Activision","[0.33,82.7]"
"31","GB","Role-Playing","Nintendo","[0.33,82.7]"
"32","X360","Shooter","Activision","[0.33,82.7]"
"33","3DS","Role-Playing","Nintendo","[0.33,82.7]"
"34","PS4","Shooter","Activision","[0.33,82.7]"
"35","PS3","Shooter","Activision","[0.33,82.7]"
"36","X360","Shooter","Activision","[0.33,82.7]"
"37","X360","Shooter","Activision","[0.33,82.7]"
"38","PS3","Shooter","Activision","[0.33,82.7]"
"39","PS2","Action","Take-Two Interactive","[0.33,82.7]"
"40","Wii","Fighting","Nintendo","[0.33,82.7]"
"41","PS3","Shooter","Activision","[0.33,82.7]"
"42","DS","Simulation","Nintendo","[0.33,82.7]"
"43","3DS","Racing","Nintendo","[0.33,82.7]"
"44","X360","Shooter","Microsoft Game Studios","[0.33,82.7]"
"45","PS4","Action","Take-Two Interactive","[0.33,82.7]"
"46","DS","Action","Nintendo","[0.33,82.7]"
"47","N64","Platform","Nintendo","[0.33,82.7]"
"48","PS2","Racing","Sony Computer Entertainment","[0.33,82.7]"
"49","Wii","Platform","Nintendo","[0.33,82.7]"
"50","3DS","Role-Playing","Nintendo","[0.33,82.7]"
"51","GB","Adventure","Nintendo","[0.33,82.7]"
"52","X360","Action","Take-Two Interactive","[0.33,82.7]"
"53","PS","Racing","Sony Computer Entertainment","[0.33,82.7]"
"54","3DS","Platform","Nintendo","[0.33,82.7]"
"55","PS3","Racing","Sony Computer Entertainment","[0.33,82.7]"
"56","PS3","Shooter","Activision","[0.33,82.7]"
"57","PS3","Action","Take-Two Interactive","[0.33,82.7]"
"58","SNES","Platform","Nintendo","[0.33,82.7]"
"59","GBA","Role-Playing","Nintendo","[0.33,82.7]"
"60","DS","Platform","Nintendo","[0.33,82.7]"
"61","Wii","Misc","Ubisoft","[0.33,82.7]"
"62","X360","Shooter","Activision","[0.33,82.7]"
"63","X360","Shooter","Microsoft Game Studios","[0.33,82.7]"
"64","N64","Racing","Nintendo","[0.33,82.7]"
"65","3DS","Platform","Nintendo","[0.33,82.7]"
"66","X360","Shooter","Microsoft Game Studios","[0.33,82.7]"
"67","PS","Role-Playing","Sony Computer Entertainment","[0.33,82.7]"
"68","PS3","Shooter","Activision","[0.33,82.7]"
"69","Wii","Misc","Ubisoft","[0.33,82.7]"
"70","PS","Racing","Sony Computer Entertainment","[0.33,82.7]"
"71","X360","Shooter","Activision","[0.33,82.7]"
"72","SNES","Platform","Nintendo","[0.33,82.7]"
"73","X360","Misc","Microsoft Game Studios","[0.33,82.7]"
"74","3DS","Simulation","Nintendo","[0.33,82.7]"
"75","DS","Misc","Nintendo","[0.33,82.7]"
"76","X360","Role-Playing","Bethesda Softworks","[0.33,82.7]"
"77","SNES","Racing","Nintendo","[0.33,82.7]"
"78","PS4","Sports","Electronic Arts","[0.33,82.7]"
"79","Wii","Misc","Nintendo","[0.33,82.7]"
"80","XB","Shooter","Microsoft Game Studios","[0.33,82.7]"
"81","Wii","Misc","Nintendo","[0.33,82.7]"
"82","DS","Role-Playing","Nintendo","[0.33,82.7]"
"83","PS3","Action","Electronic Arts","[0.33,82.7]"
"84","PC","Simulation","Electronic Arts","[0.33,82.7]"
"85","N64","Shooter","Nintendo","[0.33,82.7]"
"86","Wii","Sports","Sega","[0.33,82.7]"
"87","PS2","Role-Playing","Sony Computer Entertainment","[0.33,82.7]"
"88","PS","Role-Playing","SquareSoft","[0.33,82.7]"
"89","DS","Role-Playing","Nintendo","[0.33,82.7]"
"90","2600","Puzzle","Atari","[0.33,82.7]"
"91","PSP","Action","Take-Two Interactive","[0.33,82.7]"
"92","Wii","Platform","Nintendo","[0.33,82.7]"
"93","PS4","Shooter","Electronic Arts","[0.33,82.7]"
"94","PS4","Shooter","Activision","[0.33,82.7]"
"95","N64","Action","Nintendo","[0.33,82.7]"
"96","PS","Platform","Sony Computer Entertainment","[0.33,82.7]"
"97","NES","Platform","Nintendo","[0.33,82.7]"
"98","3DS","Fighting","Nintendo","[0.33,82.7]"
"99","X360","Shooter","Activision","[0.33,82.7]"
"100","X360","Shooter","Electronic Arts","[0.33,82.7]"
"101","Wii","Action","Nintendo","[0.33,82.7]"
"102","XOne","Shooter","Activision","[0.33,82.7]"
"103","Wii","Misc","Ubisoft","[0.33,82.7]"
"104","PS3","Shooter","Electronic Arts","[0.33,82.7]"
"105","PS2","Racing","Electronic Arts","[0.33,82.7]"
"106","PS","Fighting","Sony Computer Entertainment","[0.33,82.7]"
"107","PS","Platform","Sony Computer Entertainment","[0.33,82.7]"
"108","GC","Fighting","Nintendo","[0.33,82.7]"
"109","WiiU","Racing","Nintendo","[0.33,82.7]"
"110","PS4","Role-Playing","Bethesda Softworks","[0.33,82.7]"
"111","GC","Racing","Nintendo","[0.33,82.7]"
"112","Wii","Misc","Ubisoft","[0.33,82.7]"
"113","PS3","Sports","Electronic Arts","[0.33,82.7]"
"114","PS2","Racing","Electronic Arts","[0.33,82.7]"
"115","PS2","Shooter","Electronic Arts","[0.33,82.7]"
"116","PS3","Action","Sony Computer Entertainment","[0.33,82.7]"
"117","PS","Platform","Sony Computer Entertainment","[0.33,82.7]"
"118","Wii","Sports","505 Games","[0.33,82.7]"
"119","X360","Shooter","Microsoft Game Studios","[0.33,82.7]"
"120","PS3","Action","Sony Computer Entertainment","[0.33,82.7]"
"121","PS3","Shooter","Activision","[0.33,82.7]"
"122","PS3","Sports","Electronic Arts","[0.33,82.7]"
"123","DS","Misc","Nintendo","[0.33,82.7]"
"124","PS3","Action","Take-Two Interactive","[0.33,82.7]"
"125","PS4","Sports","Electronic Arts","[0.33,82.7]"
"126","Wii","Platform","Nintendo","[0.33,82.7]"
"127","PS3","Role-Playing","Bethesda Softworks","[0.33,82.7]"
"128","NES","Action","Nintendo","[0.33,82.7]"
"129","PS3","Action","Ubisoft","[0.33,82.7]"
"130","XB","Shooter","Microsoft Game Studios","[0.33,82.7]"
"131","GBA","Role-Playing","Nintendo","[0.33,82.7]"
"132","PS2","Role-Playing","Sony Computer Entertainment","[0.33,82.7]"
"133","GB","Role-Playing","Nintendo","[0.33,82.7]"
"134","X360","Shooter","Microsoft Game Studios","[0.33,82.7]"
"135","X360","Action","Take-Two Interactive","[0.33,82.7]"
"136","GC","Platform","Nintendo","[0.33,82.7]"
"137","SNES","Fighting","Capcom","[0.33,82.7]"
"138","PC","Role-Playing","Activision","[0.33,82.7]"
"139","PS","Action","GT Interactive","[0.33,82.7]"
"140","X360","Sports","Microsoft Game Studios","[0.33,82.7]"
"141","X360","Shooter","Microsoft Game Studios","[0.33,82.7]"
"142","X360","Shooter","Microsoft Game Studios","[0.33,82.7]"
"143","PS2","Action","Konami Digital Entertainment","[0.33,82.7]"
"144","GEN","Platform","Sega","[0.33,82.7]"
"145","PS3","Action","Konami Digital Entertainment","[0.33,82.7]"
"146","PS","Action","Konami Digital Entertainment","[0.33,82.7]"
