Global_Sales,Critic_Score,User_Score,Rating
high,medium,high,E
high,high,high,E
high,high,high,E
high,high,high,E
high,low,low,E
high,high,high,E
high,high,high,E
high,high,medium,E
high,low,low,E
high,high,medium,E
high,high,high,M
high,high,high,M
high,high,medium,E
high,high,high,M
high,high,high,M
high,high,medium,E
high,high,high,E
high,high,low,M
high,high,low,M
high,high,low,M
high,high,low,M
high,high,low,M
high,high,low,M
high,high,high,M
high,high,high,T
high,high,high,E
high,high,low,M
high,high,high,M
high,high,high,E
high,high,medium,M
high,high,high,E
high,high,high,E
high,high,medium,M
high,high,high,E
high,high,high,E
high,high,medium,E
high,high,low,M
high,high,medium,M
high,medium,low,M
high,medium,medium,E10+
high,high,medium,E
high,high,medium,M
high,high,high,T
high,high,medium,M
high,high,high,T
high,medium,medium,E10+
high,medium,low,M
high,high,high,M
high,high,high,E
high,medium,medium,E
high,high,high,M
high,high,low,E
high,high,high,M
high,medium,medium,E
high,low,low,E
high,high,low,E
high,high,high,T
high,high,high,T
high,high,high,E
high,high,medium,M
high,high,low,M
high,high,low,E
high,high,high,E
high,high,medium,M
high,high,medium,M
high,high,high,E
high,low,high,E10+
high,high,medium,M
high,high,low,M
high,high,high,T
high,high,high,T
high,high,high,E
high,high,high,E
high,high,high,E
high,high,high,T
high,medium,medium,E10+
high,high,medium,M
high,high,high,T
high,high,high,M
high,high,high,T
high,medium,medium,E
high,high,high,M
high,high,low,E
high,high,medium,M
high,high,high,E
high,high,high,M
high,high,low,M
high,medium,high,E
high,high,high,E
high,high,medium,M
high,high,high,M
high,high,high,T
high,high,medium,M
high,medium,medium,E10+
high,high,high,M
high,high,low,E
high,high,high,M
high,high,high,M
high,high,high,M
high,high,medium,T
high,high,high,M
high,high,low,E
high,high,high,M
high,high,high,E10+
high,high,high,T
high,medium,low,T
high,high,high,E10+
high,medium,medium,E
high,high,high,M
high,high,medium,M
high,high,high,E
high,high,medium,E
high,high,high,T
high,high,high,T
high,high,medium,M
high,high,high,E
high,medium,medium,E
high,high,medium,M
high,high,medium,T
high,high,medium,T
high,high,high,T
high,high,low,M
high,high,low,T
high,high,low,M
high,high,high,M
high,high,high,E
high,high,high,E
high,high,high,T
high,high,high,E
high,high,low,E
high,medium,medium,T
high,high,high,T
high,high,low,M
high,high,medium,M
high,high,high,E
high,high,high,E
high,high,high,M
high,high,high,M
high,high,high,T
high,high,high,T
high,medium,medium,T
high,high,high,M
high,high,high,T
high,high,high,E
high,high,medium,M
high,high,high,M
high,high,high,E
high,high,low,E
high,low,medium,T
high,high,high,T
high,high,medium,T
high,high,high,T
high,high,high,T
high,medium,medium,E
high,high,high,T
high,high,high,T
high,high,high,E
high,high,high,E
high,high,medium,E
high,high,medium,T
high,high,high,E
high,high,low,T
high,medium,medium,E
high,high,low,M
high,high,high,M
high,high,high,E10+
high,high,medium,E10+
high,high,medium,T
high,high,high,E
high,high,high,M
high,high,high,T
high,low,high,E10+
high,high,high,M
high,high,high,E10+
high,high,high,E
high,high,low,M
high,high,medium,E
high,high,high,T
high,high,high,M
high,high,medium,M
high,high,low,M
high,high,low,E
high,high,high,E10+
high,high,medium,E
high,high,medium,E
high,high,medium,E
high,high,medium,M
high,high,medium,T
high,high,medium,E
high,high,high,M
high,high,high,M
high,high,high,M
high,high,high,E
high,low,low,E
high,high,low,M
high,high,high,T
high,high,medium,M
high,high,high,M
high,high,high,M
high,medium,low,M
high,high,medium,M
high,high,high,E10+
high,high,high,M
high,high,high,E10+
high,high,high,E
high,high,high,T
high,high,high,T
high,high,low,E10+
high,high,high,T
high,high,medium,T
high,high,high,E
high,medium,medium,E10+
high,high,low,M
high,low,low,E
high,high,medium,M
high,medium,medium,E
high,high,medium,E10+
high,low,medium,E
high,high,medium,E
high,high,high,E
high,high,high,M
high,high,medium,E
high,high,high,T
high,medium,medium,E
high,medium,high,E10+
high,high,medium,M
high,high,high,E
high,high,medium,E
high,high,high,M
high,high,medium,T
high,high,medium,E
high,high,high,T
high,low,medium,T
high,high,medium,M
high,high,high,T
high,medium,high,E
high,high,medium,M
high,medium,low,M
high,medium,medium,T
high,high,medium,E
high,high,medium,M
high,medium,low,M
high,high,medium,M
high,high,high,M
high,high,low,E
high,high,low,M
high,high,high,T
high,high,low,M
high,high,high,M
high,medium,high,E10+
high,high,high,E
high,high,high,M
high,high,high,T
high,medium,high,T
high,high,high,M
high,high,high,T
high,high,low,E
high,high,high,E
high,medium,high,E
high,medium,low,M
high,medium,medium,E10+
high,medium,low,T
high,high,high,M
high,high,high,T
high,low,medium,T
high,high,medium,E10+
high,high,high,M
high,high,medium,M
high,high,high,T
high,high,medium,M
