Platform,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,User_Score
Nintendo,41.36,28.96,3.77,8.45,76,8
Nintendo,15.68,12.76,3.79,3.29,82,8.3
Nintendo,15.61,10.93,3.28,2.95,80,8
Nintendo,11.28,9.14,6.5,2.88,89,8.5
Nintendo,13.96,9.18,2.93,2.84,58,6.6
Nintendo,14.44,6.94,4.7,2.24,87,8.4
Nintendo,9.71,7.47,4.13,1.9,91,8.6
Nintendo,8.92,8.03,3.6,2.15,80,7.7
Microsoft,15,4.89,0.24,1.69,61,6.3
Nintendo,9.01,8.49,2.53,1.77,80,7.4
Playstation,7.02,9.09,0.98,3.96,97,8.2
Playstation,9.43,0.4,0.41,10.57,95,9
Nintendo,4.74,9.2,4.16,2.04,77,7.9
Microsoft,9.66,5.14,0.06,1.41,97,8.1
Playstation,8.41,5.49,0.47,1.78,95,8.7
Nintendo,3.43,5.35,5.32,1.18,77,7.1
Playstation,6.85,5.09,1.87,1.16,95,8.4
Microsoft,9.04,4.24,0.13,1.32,88,3.4
Microsoft,9.7,3.68,0.11,1.13,87,6.3
Playstation,4.99,5.73,0.65,2.42,83,5.3
Microsoft,8.25,4.24,0.07,1.12,83,4.8
Microsoft,8.52,3.59,0.08,1.28,94,6.3
Playstation,5.54,5.73,0.49,1.57,88,3.2
Playstation,6.99,4.51,0.3,1.3,97,8.5
Nintendo,6.62,2.55,2.66,1.01,93,8.9
Nintendo,5.03,4.02,2.69,0.91,85,8.2
Playstation,5.99,4.37,0.48,1.79,88,6.4
Playstation,3.96,6.31,0.38,1.97,97,8.3
Nintendo,2.5,3.45,5.33,0.86,86,8.7
Microsoft,7.97,2.81,0.13,1.21,94,7.8
Playstation,3.01,0.01,1.1,7.53,89,8.5
Nintendo,6.06,3.35,1.2,0.74,97,8.9
Microsoft,6.76,3.07,0.14,1.03,98,7.9
Playstation,4.02,3.87,2.54,0.52,96,8.7
Nintendo,4.89,3,2.14,0.78,90,8.4
Playstation,2.96,4.82,0.81,2.11,84,7.5
Playstation,4.99,3.64,0.38,1.6,94,6.3
Playstation,4.76,3.69,0.44,1.61,98,7.5
Microsoft,6.73,2.56,0.04,0.91,73,2.6
Nintendo,5.95,3.11,0,1.06,74,7.8
Nintendo,3.66,3.14,2.47,0.63,78,7.2
Microsoft,7.04,1.95,0.08,0.79,91,7.9
Playstation,3.01,2.47,3.28,0.96,92,9.2
Microsoft,6.65,2.28,0.04,0.74,87,7
Playstation,3.88,3.42,1.69,0.5,93,9
Nintendo,5.8,2.85,0.01,0.78,74,7.3
Playstation,4.1,3.63,0.38,1.25,71,2.6
Microsoft,5.93,2.36,0.13,0.9,94,8.4
Nintendo,2.03,2.36,4.39,0.39,88,8.7
Nintendo,4.4,1.85,1.98,0.68,72,7.8
Microsoft,5.05,2.79,0.1,0.85,96,8.4
Playstation,1.12,6.12,0.06,1.28,82,4.3
Microsoft,6.82,1.53,0.05,0.08,95,8.2
Nintendo,1.75,3.47,2.49,0.67,68,7.4
Nintendo,3.74,2.24,1.58,0.7,62,6.3
Playstation,1.06,5.01,0.13,1.97,88,6.6
Playstation,2.91,2.07,2.73,0.33,92,8.7
Playstation,2.28,1.72,3.63,0.23,90,8.6
Nintendo,2.76,1.72,2.69,0.54,83,8.5
Playstation,2.9,2.81,0.24,1.73,88,7.6
Playstation,2.81,3.48,0.14,1.23,83,5.7
Playstation,0.66,5.75,0.08,1.11,85,5
Nintendo,3.56,2.35,0.98,0.62,97,9.1
Microsoft,4.81,1.88,0,0.69,84,7.6
Microsoft,4.46,2.11,0.06,0.69,84,7.4
Playstation,3.27,2.83,0.08,1.02,85,8.6
Nintendo,3.48,2.99,0,0.73,49,8
Playstation,2.85,2.89,0.35,1.08,85,7.5
Playstation,2.53,3.27,0.24,1.13,87,6.5
Playstation,3.27,2.22,1.4,0.29,96,9.1
Nintendo,3.74,2.14,0.6,0.68,95,9
Playstation,3.68,1.75,1.42,0.28,91,8.9
Nintendo,3.15,2.15,1.28,0.51,88,9.1
Playstation,2.71,3.02,0.08,1.09,82,8.6
Playstation,2.93,2.75,0.17,0.99,88,8.5
Nintendo,4.05,2.16,0,0.55,74,7.3
Microsoft,4.15,1.9,0.06,0.64,93,7.7
Playstation,2.77,2.75,0.19,1.03,92,8.3
Playstation,3.11,2.26,0.28,1.03,94,8.4
Playstation,3.27,2.2,0.21,0.98,96,8.8
Nintendo,1.66,2.75,1.6,0.62,74,7.4
Playstation,2.79,2.53,0.17,0.99,95,8.8
Playstation,0.78,4.24,0.07,1.37,86,4.3
Playstation,2.64,2.52,0.16,1.12,85,6.9
Nintendo,3.17,1.79,1.03,0.46,87,8.6
Microsoft,4.98,1.3,0.08,0.07,97,8.6
Playstation,2.55,2.6,0.25,1,92,6.4
Nintendo,2.57,1.58,2.06,0.21,76,9
Playstation,3.64,1.2,1.49,0.07,85,8.8
Microsoft,4.34,1.34,0.06,0.61,83,7.1
Microsoft,3.7,1.95,0.09,0.58,95,9
Playstation,3.11,2.8,0.02,0.33,87,8.1
Microsoft,4.05,1.59,0.07,0.5,91,7.8
Microsoft,3.92,1.73,0.03,0.51,73,7.4
Microsoft,3.54,1.88,0.07,0.6,94,8.3
Playstation,0.8,4.33,0.05,0.9,82,5.7
Playstation,2.45,2.01,0.87,0.72,96,8.7
Playstation,3.18,1.83,0.78,0.24,94,9.4
Playstation,2.63,1.71,0.83,0.82,94,8.7
Playstation,1.88,0,2.33,1.74,92,7.6
Playstation,2.41,2.18,0.28,0.99,95,9.1
Playstation,2.8,1.98,0.17,0.87,95,6.8
Playstation,1.88,1.47,2.02,0.45,89,9.2
Nintendo,0.63,0.67,4.35,0.15,87,8.8
Playstation,2.26,1.89,1.36,0.23,89,8.9
Playstation,2.49,2.07,0.16,0.92,76,6.1
Nintendo,3.57,1.55,0,0.51,80,8.9
Nintendo,3.07,1.91,0.07,0.57,67,7.2
Playstation,2.54,1.93,0.21,0.86,91,8.6
Microsoft,3.28,1.64,0.07,0.56,81,7.7
