Global_Sales,Critic_Score,User_Score
high,76,8
high,82,8.3
high,80,8
high,89,8.5
high,58,6.6
high,87,8.4
high,91,8.6
high,80,7.7
high,61,6.3
high,80,7.4
high,97,8.2
high,95,9
high,77,7.9
high,97,8.1
high,95,8.7
high,77,7.1
high,95,8.4
high,88,3.4
high,87,6.3
high,83,5.3
high,83,4.8
high,94,6.3
high,88,3.2
high,97,8.5
high,93,8.9
high,85,8.2
high,88,6.4
high,97,8.3
high,86,8.7
high,94,7.8
high,89,8.5
high,97,8.9
high,98,7.9
high,96,8.7
high,90,8.4
high,84,7.5
high,94,6.3
high,98,7.5
high,73,2.6
high,74,7.8
high,78,7.2
high,91,7.9
high,92,9.2
high,87,7
high,93,9
high,74,7.3
high,71,2.6
high,94,8.4
high,88,8.7
high,72,7.8
high,96,8.4
high,82,4.3
high,95,8.2
high,68,7.4
high,62,6.3
high,88,6.6
high,92,8.7
high,90,8.6
high,83,8.5
high,88,7.6
high,83,5.7
high,85,5
high,97,9.1
high,84,7.6
high,84,7.4
high,85,8.6
high,49,8
high,85,7.5
high,87,6.5
high,96,9.1
high,95,9
high,91,8.9
high,88,9.1
high,82,8.6
high,88,8.5
high,74,7.3
high,93,7.7
high,92,8.3
high,94,8.4
high,96,8.8
high,74,7.4
high,95,8.8
high,86,4.3
high,85,6.9
high,87,8.6
high,97,8.6
high,92,6.4
high,76,9
high,85,8.8
high,83,7.1
high,95,9
high,87,8.1
high,91,7.8
high,73,7.4
high,94,8.3
high,82,5.7
high,96,8.7
high,94,9.4
high,94,8.7
high,92,7.6
high,95,9.1
high,95,6.8
high,89,9.2
high,87,8.8
high,89,8.9
high,76,6.1
high,80,8.9
high,67,7.2
high,91,8.6
high,81,7.7
high,92,8
high,84,7.8
high,81,8.7
high,96,8.6
high,97,7.9
high,93,8.3
high,66,7.1
high,85,7.6
high,93,7.9
high,83,7.3
high,94,8.9
high,84,6.7
high,85,6.6
high,81,5.4
high,90,8.8
high,94,8.5
high,84,8.1
high,89,8.8
high,85,8.6
high,90,6.1
high,68,7.6
high,92,8.5
high,80,6.5
high,84,7.5
high,90,8
high,89,8
high,91,9
high,86,8
high,92,9.2
high,82,8.2
high,68,7.1
high,93,8.5
high,88,8.1
high,88,8
high,81,7.3
high,92,8.7
high,88,9
high,80,5.4
high,62,7.7
high,94,8.7
high,98,7.7
high,82,8.2
high,91,8.6
high,73,7.6
high,86,8.1
high,86,8.4
