NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
41.36,28.96,3.77,8.45,high,76,51,8,322
15.68,12.76,3.79,3.29,high,82,73,8.3,709
15.61,10.93,3.28,2.95,high,80,73,8,192
11.28,9.14,6.5,2.88,high,89,65,8.5,431
13.96,9.18,2.93,2.84,high,58,41,6.6,129
14.44,6.94,4.7,2.24,high,87,80,8.4,594
9.71,7.47,4.13,1.9,high,91,64,8.6,464
8.92,8.03,3.6,2.15,high,80,63,7.7,146
15,4.89,0.24,1.69,high,61,45,6.3,106
9.01,8.49,2.53,1.77,high,80,33,7.4,52
7.02,9.09,0.98,3.96,high,97,50,8.2,3994
9.43,0.4,0.41,10.57,high,95,80,9,1588
4.74,9.2,4.16,2.04,high,77,58,7.9,50
9.66,5.14,0.06,1.41,high,97,58,8.1,3711
8.41,5.49,0.47,1.78,high,95,62,8.7,730
3.43,5.35,5.32,1.18,high,77,37,7.1,19
6.85,5.09,1.87,1.16,high,95,54,8.4,314
9.04,4.24,0.13,1.32,high,88,81,3.4,8713
9.7,3.68,0.11,1.13,high,87,89,6.3,1454
4.99,5.73,0.65,2.42,high,83,21,5.3,922
8.25,4.24,0.07,1.12,high,83,73,4.8,2256
8.52,3.59,0.08,1.28,high,94,100,6.3,2698
5.54,5.73,0.49,1.57,high,88,39,3.2,5234
6.99,4.51,0.3,1.3,high,97,56,8.5,664
6.62,2.55,2.66,1.01,high,93,81,8.9,1662
5.03,4.02,2.69,0.91,high,85,73,8.2,632
5.99,4.37,0.48,1.79,high,88,58,6.4,1094
3.96,6.31,0.38,1.97,high,97,66,8.3,2899
2.5,3.45,5.33,0.86,high,86,57,8.7,242
7.97,2.81,0.13,1.21,high,94,86,7.8,4100
3.01,0.01,1.1,7.53,high,89,74,8.5,272
6.06,3.35,1.2,0.74,high,97,73,8.9,2147
6.76,3.07,0.14,1.03,high,98,86,7.9,2951
4.02,3.87,2.54,0.52,high,96,16,8.7,138
4.89,3,2.14,0.78,high,90,82,8.4,921
2.96,4.82,0.81,2.11,high,84,82,7.5,1112
4.99,3.64,0.38,1.6,high,94,67,6.3,2073
4.76,3.69,0.44,1.61,high,98,64,7.5,2833
6.73,2.56,0.04,0.91,high,73,29,2.6,2117
5.95,3.11,0,1.06,high,74,15,7.8,16
3.66,3.14,2.47,0.63,high,78,70,7.2,424
7.04,1.95,0.08,0.79,high,91,99,7.9,2045
